-1.000000000000000000e+01 -9.518181776177356834e-01 nan nan -4.046323077028369380e-02
-9.750000000000000000e+00 -9.218378057933207526e-01 nan nan -4.078282021958742898e-02
-9.500000000000000000e+00 -8.918398835058827245e-01 nan nan -4.110446555075436548e-02
-9.250000000000000000e+00 -8.618249818726233524e-01 nan nan -4.142814226924682042e-02
-9.000000000000000000e+00 -8.317936723340025873e-01 nan nan -4.175382572582990448e-02
-8.750000000000000000e+00 -8.017465266428664972e-01 nan nan -4.208149111844730617e-02
-8.500000000000000000e+00 -7.716841168535552020e-01 nan nan -4.241111349411057219e-02
-8.250000000000000000e+00 -7.416070153110162488e-01 nan nan -4.274266775080000358e-02
-8.000000000000000000e+00 -7.115157946399104372e-01 nan nan -4.307612863937509973e-02
-7.750000000000000000e+00 -6.814110277337033228e-01 nan nan -4.341147076549787404e-02
-7.500000000000000000e+00 -6.512932877437606072e-01 nan nan -4.374866859156766041e-02
-7.250000000000000000e+00 -6.211631480684381978e-01 nan nan -4.408769643866414234e-02
-7.000000000000000000e+00 -5.910211823421629429e-01 nan nan -4.442852848850412095e-02
-6.750000000000000000e+00 -5.608679644245156970e-01 nan nan -4.477113878540738001e-02
-6.500000000000000000e+00 -5.307040683892999544e-01 nan nan -4.511550123827364617e-02
-6.250000000000000000e+00 -5.005300685136152561e-01 nan nan -4.546158962256871550e-02
-6.000000000000000000e+00 -4.703465392669237133e-01 nan nan -4.580937758232193902e-02
-5.750000000000000000e+00 -4.401540553001151435e-01 nan nan -4.615883863213412347e-02
-5.500000000000000000e+00 -4.099531914345622141e-01 nan nan -4.650994615919312736e-02
-5.250000000000000000e+00 -3.797445226511794170e-01 nan nan -4.686267342530105184e-02
-5.000000000000000000e+00 -3.495286240794740484e-01 nan nan -4.721699356891159022e-02
-4.750000000000000000e+00 -3.193060709866014091e-01 nan nan -4.757287960717358766e-02
-4.500000000000000000e+00 -2.890774387664073464e-01 nan nan -4.793030443798741713e-02
-4.250000000000000000e+00 -2.588433029284761266e-01 nan nan -4.828924084206828726e-02
-4.000000000000000000e+00 -2.286042390871713681e-01 nan nan -4.864966148501969484e-02
-3.750000000000000000e+00 -1.983608229506778342e-01 nan nan -4.901153891941423257e-02
-3.500000000000000000e+00 -1.681136303100494445e-01 nan nan -4.937484558688344516e-02
-3.250000000000000000e+00 -1.378632370282296959e-01 nan nan -4.973955382021896798e-02
-3.000000000000000000e+00 -1.076102190291024358e-01 nan nan -5.010563584547641364e-02
-2.750000000000000000e+00 -7.735515228652012354e-02 nan nan -5.047306378409199823e-02
-2.500000000000000000e+00 -4.709861281334468824e-02 nan nan -5.084180965500604416e-02
-2.250000000000000000e+00 -1.684117665047217896e-02 nan nan -5.121184537679253357e-02
-2.000000000000000000e+00 1.341658014412665592e-02 nan nan -5.158314276979863999e-02
-1.750000000000000000e+00 4.367408150637963615e-02 nan nan -5.195567355829053963e-02
-1.500000000000000000e+00 7.393075137707719180e-02 nan nan -5.232940937260630032e-02
-1.250000000000000000e+00 1.041860137128360064e-01 nan nan -5.270432175131662539e-02
-1.000000000000000000e+00 1.344392924970744529e-01 nan nan -5.308038214339207139e-02
-7.500000000000000000e-01 1.646900117509741135e-01 nan nan -5.345756191037833588e-02
-5.000000000000000000e-01 1.949375955444466457e-01 nan nan -5.383583232857570844e-02
-2.500000000000000000e-01 2.251814680070950148e-01 nan nan -5.421516459122689008e-02
0.000000000000000000e+00 2.554210533391849114e-01 nan nan -5.459552981071193190e-02
2.500000000000000000e-01 2.856557758226010435e-01 nan nan -5.497689902074661544e-02
5.000000000000000000e-01 3.158850598318085900e-01 nan nan -5.535924317858877119e-02
7.500000000000000000e-01 3.461083298448180412e-01 nan nan -5.574253316725087670e-02
1.000000000000000000e+00 3.763250104541288610e-01 nan nan -5.612673979771617971e-02
1.250000000000000000e+00 4.065345263777018769e-01 nan nan -5.651183381116192672e-02
1.500000000000000000e+00 4.367363024699003060e-01 nan nan -5.689778588118861447e-02
1.750000000000000000e+00 4.669297637324426598e-01 nan nan -5.728456661605159372e-02
2.000000000000000000e+00 4.971143353253459907e-01 nan nan -5.767214656090027813e-02
2.250000000000000000e+00 5.272894425778801297e-01 nan nan -5.806049620002128736e-02
2.500000000000000000e+00 5.574545109995000525e-01 nan nan -5.844958595908630872e-02
2.750000000000000000e+00 5.876089662907830746e-01 nan nan -5.883938620740360170e-02
3.000000000000000000e+00 6.177522343543693228e-01 nan nan -5.922986726017496345e-02
3.250000000000000000e+00 6.478837413058819994e-01 nan nan -5.962099938075676037e-02
3.500000000000000000e+00 6.780029134848657435e-01 nan nan -6.001275278292342308e-02
3.750000000000000000e+00 7.081091774656969040e-01 nan nan -6.040509763313653413e-02
4.000000000000000000e+00 7.382019600685069127e-01 nan nan -6.079800405281704512e-02
4.250000000000000000e+00 7.682806883700920020e-01 nan nan -6.119144212061969346e-02
4.500000000000000000e+00 7.983447897148223671e-01 nan nan -6.158538187471228331e-02
4.750000000000000000e+00 8.283936917255463328e-01 nan nan -6.197979331505758249e-02
5.000000000000000000e+00 8.584268223144839727e-01 nan nan -6.237464640569724550e-02
5.250000000000000000e+00 8.884436096941211725e-01 nan nan -6.276991107703973338e-02
5.500000000000000000e+00 9.184434823880920362e-01 nan nan -6.316555722814976015e-02
5.750000000000000000e+00 9.484258692420670656e-01 nan nan -6.356155472904151393e-02
6.000000000000000000e+00 9.783901994346176911e-01 nan nan -6.395787342297189204e-02
6.250000000000000000e+00 1.008335902488091351e+00 nan nan -6.435448312873782994e-02
6.500000000000000000e+00 1.038262408279464921e+00 nan nan -6.475135364297499030e-02
6.750000000000000000e+00 1.068169147051208467e+00 nan nan -6.514845474245706258e-02
7.000000000000000000e+00 1.098055549422124910e+00 nan nan -6.554575618639764401e-02
7.250000000000000000e+00 1.127921046398193683e+00 nan nan -6.594322771875391065e-02
7.500000000000000000e+00 1.157765069383402734e+00 nan nan -6.634083907052969187e-02
7.750000000000000000e+00 1.187587050190571869e+00 nan nan -6.673855996208108432e-02
8.000000000000000000e+00 1.217386421052175205e+00 nan nan -6.713636010542220478e-02
8.250000000000000000e+00 1.247162614631146749e+00 nan nan -6.753420920653227522e-02
8.500000000000000000e+00 1.276915064031683533e+00 nan nan -6.793207696766190296e-02
8.750000000000000000e+00 1.306643202810032545e+00 nan nan -6.832993308964027679e-02
9.000000000000000000e+00 1.336346464985286753e+00 nan nan -6.872774727418382024e-02
9.250000000000000000e+00 1.366024285050148723e+00 nan nan -6.912548922620197211e-02
9.500000000000000000e+00 1.395676097981705110e+00 nan nan -6.952312865610504877e-02
9.750000000000000000e+00 1.425301339252180943e+00 nan nan -6.992063528211123202e-02
1.000000000000000000e+01 1.454899444839683254e+00 nan nan -7.031797883255169745e-02
